0.038902	1.09586e+06	-802230	-492682
0.058325	85323.5	-433397	-459791
0.008159	-673350	561421	312343
0.005722	51518.6	549643	138491
0.054383	36890.9	226964	-573460
0.080345	518494	-222732	-314109
0.095942	-655800	-742125	-754761
0.013314	-289317	-91608.1	-134528
0.058988	137503	-696946	110441
0.048858	-459246	303401	278803
0.001736	-383310	-219810	513087
0.034958	-386854	-40138.5	56777.3
0.017343	-140393	-648663	568238
0.082228	325929	763857	10080.5
0.031286	-72847.7	-258157	-948231
0.054799	-74853.1	588631	90624.8
0.017330	-388985	-92816	187790
0.062265	279531	-602352	-47882.1
0.027102	-82261.1	-420580	-120308
0.067595	494212	-25204.4	-111382
0.070842	374710	112336	-508672
0.076860	-884412	523971	-594758
0.046899	-710499	-176698	272772
0.008740	-361128	554278	63454.1
0.023778	-87565.3	439911	77498.4
0.094824	-1.04492e+06	205830	289616
0.016309	-781989	-341526	550222
0.085975	205548	8391.81	504194
0.055823	-552301	23240.1	101574
0.103093	-424702	439259	-17838.2
0.007564	326493	137975	-540200
0.045392	422429	1.09873e+06	-437956
0.011062	177945	394192	22596
0.099627	148222	-216797	62014.3
0.000236	-555763	446975	-247990
0.080416	-1.02072e+06	197638	208544
0.083703	-97982.1	-318902	-916393
0.090204	775426	-651866	290591
0.009031	137868	-206285	295513
0.041712	240448	317267	334786
0.027141	30447.4	176700	246397
0.083297	264267	326592	490398
0.044998	58299.8	-328792	344792
0.094401	-407027	83139.1	142918
0.018815	-907096	-410250	-7240.74
0.027407	573996	-747272	104146
0.014324	-886731	287773	-753690
0.013891	-481101	843482	-196319
0.089867	-545097	-77222.9	-116544
0.060361	-386832	-242463	362488
0.056676	-39659.1	84657.5	-245217
0.014875	-646206	116073	-129754
0.088292	-693304	306139	-5736.47
0.064176	-7204.79	-225061	-217289
0.036660	153657	-1.63238e+06	335990
0.053136	-561346	406879	9594.67
0.041795	319187	1.10676e+06	213089
0.008191	152360	385212	333282
0.025348	-541239	-651634	525532
0.013125	-330968	149265	368717
0.019495	-172487	477674	469080
0.025546	37685.4	-173954	723114
0.042825	701068	861841	-372958
0.005059	-673155	453790	-84192.3
0.092435	86170.2	-410354	-1.02688e+06
0.097551	-200451	-627053	-248951
0.051063	449931	-273051	255637
0.050364	-54445.9	713084	-286772
0.035248	-501648	-850360	291715
0.093214	-69038.5	1141.57	49583.4
0.038890	955528	-744223	678093
0.012003	168910	-466780	502436
0.080227	161241	-20302.3	-548794
0.039437	1.38602e+06	-539443	-927065
0.025704	82172	-607862	701694
0.041562	859759	1.1833e+06	-244950
0.009424	-167761	-996158	-571721
0.013640	-113406	151549	-20786.6
0.097481	-56475.2	707807	-31585.4
0.098622	497520	827246	-355521
0.059222	53099.8	189769	-325761
0.006383	-74991.3	79558.8	197443
0.023970	-71720.2	-741969	-338612
0.035959	-143049	-882348	-614694
0.084035	246410	305893	-988880
0.001187	-592288	101825	-416310
0.004389	695090	-242495	-68717.7
0.017519	312867	421544	26264.8
0.066557	13615.7	102651	-647755
0.075783	-755033	-664856	42373
0.067032	-317816	356690	-18592.8
0.047182	106318	-267035	516274
0.056665	-623964	10966.6	45653.7
0.031305	643616	183393	645156
0.076688	-604643	171341	-405024
0.020252	-960911	273905	709389
0.071292	33993.2	-3159.82	207697
0.018818	768302	-68083.5	-181437
0.038225	988664	-792136	81680.5
0.065399	365908	-250822	654913
0.081422	-1.0938e+06	-399627	673121
0.007836	-33322.1	-318180	-574650
0.096325	243474	-893808	125765
0.080581	-116241	532085	291651
0.051198	-48547.9	-96625.3	825444
0.044973	-330480	256256	-143997
0.045844	-212986	919228	-407031
0.031682	678293	-899267	-30199.2
0.053139	166634	-221284	511283
0.052777	-36961.5	416384	-97060.1
0.084488	783150	-114727	-149509
0.082935	-76875.4	612677	674394
0.066742	-680540	283347	47455.2
0.039120	992214	-305865	-74546.5
0.084605	-47265.6	375555	608892
0.055086	72602.7	-232385	-68993.6
0.036868	625332	-731023	573855
0.097886	693648	-436925	703987
0.090959	856130	25242.2	295491
0.057206	-483284	31777	266140
0.063905	-246962	605817	-539076
0.061463	-365011	-666916	713529
0.021144	535101	443793	-368180
0.030242	153431	164573	-960265
0.048349	-107910	52757.8	-404587
0.023369	-418937	-15135.2	-499525
0.086784	254697	712687	-622074
0.020183	-139224	-154697	24419.5
0.023735	6636.71	-211408	356518
0.018426	-3006.32	-567589	771580
0.023120	-179284	-335098	-455926
0.045252	484813	402763	153364
0.032059	104707	-260082	-147681
0.095937	617036	-178383	364855
0.044934	426885	1.51753e+06	415226
0.019599	-991636	-269612	479825
0.093716	86172.3	-106030	52586.9
0.102031	447641	-420867	628837
0.045654	-406747	-99756.4	232081
0.010933	-102789	-23852.4	-581355
0.026551	-199949	307604	-165415
0.041905	474172	145010	-413396
